1,0,10,3
2,0,10,3
3,0,10,3
4,0,100,35
5,0,100,35
6,0,200,70
7,0,300,105
8,0,500,175
9,0,500,175
10,0,500,175
11,0,500,175
12,0,500,175
13,0,500,175
14,0,500,175
15,0,500,175
16,0,800,280
17,0,800,280
18,0,800,280
19,0,800,280
20,0,800,280
21,0,800,280
22,0,800,280
23,0,800,280
24,0,1000,350
25,0,1000,350
26,0,1000,350
27,0,1000,350
28,0,1000,350
29,0,1000,350
30,0,1000,350
31,0,1000,350
32,0,1000,350
33,0,3000,1050
34,0,3000,1050
35,0,3000,1050
36,0,5000,1750
37,0,10000,3500
38,0,50,17
39,0,100,35
40,0,100,35
41,0,100,35
42,0,100,35
43,0,200,70
44,0,300,105
45,0,300,105
46,0,300,105
47,0,300,105
48,0,300,105
49,0,300,105
50,0,300,105
51,0,300,105
52,0,500,175
53,0,500,175
54,0,500,175
55,0,500,175
56,0,500,175
57,0,1000,350
58,0,1500,525
59,0,2000,700
60,0,2000,700
61,0,2000,700
62,0,2000,700
63,0,2000,700
64,0,5000,1750
65,0,5000,1750
66,0,2000,700
67,0,2000,700
68,0,2000,700
69,0,3000,1050
70,0,3000,1050
71,0,3000,1050
72,0,3000,1050
73,0,3000,1050
74,0,3000,1050
75,0,3000,1050
76,0,3000,1050
77,0,5000,1750
78,0,5000,1750
79,0,5000,1750
80,0,5000,1750
81,0,5000,1750
82,0,5000,1750
83,0,5000,1750
84,0,5000,1750
85,0,10000,3500
86,0,10000,3500
87,0,30000,10500
88,0,30000,10500
89,0,30000,10500
90,0,500,175
91,0,500,175
92,0,500,175
93,0,500,175
94,0,500,175
95,0,500,175
96,0,500,175
97,0,500,175
98,0,500,175
99,0,500,175
100,0,500,175
101,0,600,210
101,1,630,220
101,2,660,231
101,3,690,241
101,4,720,252
101,5,750,262
102,0,600,210
102,1,630,220
102,2,660,231
102,3,690,241
102,4,720,252
102,5,750,262
103,0,600,210
103,1,630,220
103,2,660,231
103,3,690,241
103,4,720,252
103,5,750,262
104,0,600,210
104,1,630,220
104,2,660,231
104,3,690,241
104,4,720,252
104,5,750,262
105,0,600,210
105,1,630,220
105,2,660,231
105,3,690,241
105,4,720,252
105,5,750,262
106,0,1000,350
106,1,1050,367
106,2,1100,385
106,3,1150,402
106,4,1200,420
106,5,1250,437
107,0,1000,350
107,1,1050,367
107,2,1100,385
107,3,1150,402
107,4,1200,420
107,5,1250,437
108,0,1000,350
108,1,1050,367
108,2,1100,385
108,3,1150,402
108,4,1200,420
108,5,1250,437
109,0,1000,350
109,1,1050,367
109,2,1100,385
109,3,1150,402
109,4,1200,420
109,5,1250,437
110,0,1000,350
110,1,1050,367
110,2,1100,385
110,3,1150,402
110,4,1200,420
110,5,1250,437
111,0,1000,350
111,1,1050,367
111,2,1100,385
111,3,1150,402
111,4,1200,420
111,5,1250,437
112,0,1000,350
112,1,1050,367
112,2,1100,385
112,3,1150,402
112,4,1200,420
112,5,1250,437
113,0,1600,560
